"ftwhite","ftblack","ftmuslim","presjob","srv_spend","crimespend","ideo5","ftpolice","party","age","race_white","female"
100,100,20,1,7,5,NA,51,"Democrat",56,1,0
74,6,22,3,6,2,2,65,"Independent",59,1,1
50,50,5,7,2,5,4,85,"Republican",53,1,0
64,61,61,2,6,4,2,56,"Democrat",36,1,0
58,61,22,7,1,4,4,89,NA,42,1,0
51,50,11,7,1,7,4,55,"Independent",58,1,0
70,100,100,2,7,2,1,34,"Democrat",38,1,0
70,70,40,7,3,4,5,85,"Republican",65,1,0
50,50,12,7,1,4,4,80,"Independent",43,1,0
90,75,72,2,6,3,2,60,"Democrat",80,1,0
52,53,43,7,2,2,4,97,"Republican",38,1,0
80,80,50,7,3,3,4,90,"Independent",73,1,1
90,88,81,2,5,3,3,91,"Democrat",80,1,0
74,67,53,7,2,4,5,99,"Republican",78,1,1
99,99,2,7,3,2,4,99,"Republican",60,1,1
63,74,61,7,1,7,3,66,"Independent",32,0,0
58,63,61,1,6,4,3,48,"Democrat",35,1,0
81,80,60,2,4,2,3,89,"Democrat",71,1,1
95,100,15,7,1,1,5,100,"Independent",55,1,0
94,92,60,2,6,4,2,63,"Democrat",58,1,1
81,95,100,1,5,3,2,74,"Democrat",66,1,1
71,71,1,6,2,3,5,41,"Republican",61,1,0
51,61,50,3,7,5,1,41,"Independent",62,1,0
87,84,79,1,7,1,2,52,"Democrat",71,1,1
58,39,46,2,5,3,1,54,"Democrat",38,1,0
80,79,63,5,5,3,3,85,"Independent",35,1,0
50,50,51,7,2,3,4,88,"Republican",67,1,1
88,56,77,3,6,4,2,57,"Democrat",72,1,1
75,64,64,2,7,1,2,46,"Democrat",61,1,1
56,58,53,1,5,3,2,89,"Democrat",65,1,1
51,54,50,1,NA,4,5,27,"Republican",22,1,1
62,88,72,3,7,3,1,31,"Democrat",66,1,0
99,51,6,7,1,6,5,100,"Independent",63,1,0
53,50,6,7,2,3,5,84,"Republican",45,1,1
63,60,58,2,5,4,3,70,"Democrat",49,1,0
85,70,59,2,6,6,1,78,"Democrat",71,1,0
69,81,80,2,7,1,1,62,"Democrat",68,1,1
81,80,11,2,4,4,3,31,"Independent",40,1,0
60,60,31,7,3,4,3,90,"Independent",61,1,0
67,71,1,7,2,4,3,88,"Republican",59,1,1
81,67,13,2,6,3,4,97,"Democrat",63,1,0
100,100,100,2,4,4,1,100,"Democrat",43,1,1
55,60,20,7,3,2,4,80,"Independent",72,1,0
99,62,100,1,7,1,3,100,"Democrat",60,1,0
99,95,80,2,6,4,2,70,"Democrat",67,1,0
10,19,0,7,1,6,3,50,"Independent",54,1,0
100,9,9,7,5,2,4,46,"Democrat",64,1,1
66,62,56,5,5,7,3,60,"Democrat",44,0,0
94,97,99,1,7,2,2,52,"Democrat",56,1,1
75,59,0,7,3,3,5,70,"Independent",38,1,0
72,52,31,4,5,4,1,53,"Democrat",40,1,1
51,69,51,1,6,4,3,48,"Democrat",39,1,0
50,41,40,7,3,5,4,71,"Republican",76,1,0
91,91,88,3,4,2,1,51,"Democrat",33,0,1
59,50,29,7,3,4,4,65,"Republican",38,1,1
84,84,75,3,2,3,NA,57,NA,38,0,0
84,41,1,7,2,3,5,36,NA,42,1,0
87,86,69,2,7,2,3,94,"Independent",43,1,1
100,49,22,6,3,4,3,96,"Independent",46,1,0
54,50,50,5,4,7,3,85,"Republican",39,1,0
100,100,100,7,1,4,5,100,"Republican",54,1,0
98,71,66,2,5,2,4,85,"Republican",27,1,1
71,81,90,1,7,4,2,52,"Democrat",56,1,1
50,50,35,6,3,5,4,60,"Independent",48,1,0
5,100,100,1,7,7,1,0,"Democrat",47,0,0
65,66,65,2,5,3,3,59,"Independent",32,1,0
37,50,29,6,6,6,2,5,"Democrat",58,0,0
80,75,75,2,7,3,1,75,"Democrat",80,1,0
51,51,8,7,1,3,4,59,"Independent",49,1,0
100,100,0,7,1,7,4,50,NA,42,1,0
50,51,50,6,3,4,4,60,"Independent",52,1,1
84,93,94,1,7,4,1,14,"Independent",57,1,0
99,22,3,3,6,4,1,1,"Democrat",60,1,0
72,50,4,7,3,1,3,99,"Independent",74,1,0
47,46,51,2,4,2,3,97,"Independent",78,1,1
91,50,49,7,2,4,4,66,"Independent",63,1,0
80,75,60,1,4,4,2,80,"Democrat",80,1,1
50,50,50,7,1,2,5,90,"Independent",55,1,0
62,62,0,7,1,2,5,95,"Republican",63,1,0
99,99,51,7,NA,3,3,99,"Independent",55,1,0
72,70,71,7,3,3,3,88,NA,69,1,1
51,56,52,3,2,4,1,35,"Independent",43,0,1
90,90,50,1,6,2,3,86,"Democrat",64,0,1
50,88,3,3,2,4,2,75,"Democrat",52,0,1
75,60,52,3,4,5,3,32,"Republican",62,1,0
50,50,50,7,2,4,5,70,"Republican",49,1,1
50,50,90,2,7,3,2,56,"Democrat",53,1,0
50,50,50,4,NA,3,3,47,"Independent",30,0,1
81,75,18,6,3,4,4,9,"Independent",70,1,1
49,50,1,7,5,1,3,70,"Independent",47,1,0
90,95,95,2,7,5,2,46,"Democrat",30,1,1
100,100,50,1,7,1,2,13,"Democrat",60,1,0
100,100,47,7,1,1,4,99,"Independent",63,1,1
90,90,65,2,5,1,3,70,"Democrat",76,1,1
96,94,94,2,7,2,2,51,"Democrat",65,1,0
54,91,99,2,4,4,3,56,"Independent",43,1,1
99,99,41,7,1,4,5,99,"Republican",83,1,1
80,80,50,7,2,4,4,72,"Independent",56,1,0
71,72,79,2,4,4,1,89,"Independent",48,1,1
100,0,0,7,3,1,4,100,"Independent",73,1,0
55,92,78,2,5,5,1,31,"Independent",79,1,0
50,51,40,7,1,3,4,70,"Republican",54,1,0
100,100,51,1,7,1,2,50,"Democrat",54,1,0
100,34,50,1,1,1,1,100,"Democrat",72,0,1
50,50,50,5,3,5,NA,50,"Independent",39,1,0
82,100,80,1,NA,NA,NA,33,NA,25,0,1
50,50,50,7,1,7,5,35,NA,51,1,0
71,89,69,2,4,3,3,79,"Democrat",73,1,1
50,50,40,3,7,4,2,50,"Democrat",61,1,0
100,100,31,7,1,4,4,90,"Republican",62,1,1
73,73,0,7,1,4,4,99,"Republican",85,1,0
95,95,70,2,5,3,3,95,"Democrat",63,1,0
90,2,2,7,2,1,4,97,"Independent",67,1,0
95,75,3,7,2,1,4,96,"Republican",84,1,1
64,61,58,2,4,4,2,42,"Democrat",43,1,1
52,52,50,4,NA,4,NA,49,"Independent",43,1,1
35,60,50,2,4,4,3,40,"Independent",44,1,0
45,71,69,2,7,1,5,31,"Democrat",55,1,0
74,26,18,3,3,5,4,39,"Independent",52,1,0
85,80,72,2,5,3,3,63,"Democrat",64,1,0
55,41,40,6,4,4,3,65,NA,44,1,1
51,100,31,7,6,3,NA,99,"Independent",69,1,1
70,72,1,7,4,4,3,100,"Democrat",71,0,0
100,100,50,7,4,3,5,85,"Republican",53,1,1
52,50,51,2,3,1,NA,71,"Independent",64,1,0
87,78,78,2,6,2,2,81,"Democrat",55,1,1
75,73,50,5,5,2,3,100,"Democrat",77,1,1
51,50,0,7,2,4,5,100,NA,79,1,0
85,78,49,6,NA,4,4,87,"Republican",62,1,0
72,71,72,1,4,3,1,20,"Democrat",50,1,1
45,80,50,2,5,4,1,10,"Democrat",41,0,1
59,61,51,2,3,3,3,90,"Republican",59,1,0
55,50,52,7,2,1,NA,73,"Independent",58,1,0
50,50,34,6,4,3,4,91,"Republican",57,1,1
81,89,72,2,4,2,2,50,"Democrat",54,0,0
99,62,10,7,1,2,3,100,"Democrat",75,1,1
61,50,50,5,1,2,3,69,"Republican",75,1,1
96,90,8,4,NA,2,NA,97,"Republican",66,1,1
45,48,2,6,1,4,4,27,"Democrat",78,0,0
62,61,35,7,1,4,4,81,"Democrat",56,1,0
63,50,45,4,4,3,3,59,"Democrat",38,0,0
86,90,79,7,3,2,3,92,"Independent",68,1,1
100,80,79,1,6,2,1,100,"Democrat",57,1,0
60,57,95,2,7,4,1,30,"Democrat",55,0,0
75,75,51,2,6,4,3,69,"Independent",60,1,1
100,76,2,6,NA,4,4,99,"Republican",39,1,0
45,95,71,2,5,3,3,66,"Democrat",57,0,0
45,50,18,7,1,2,3,96,"Republican",61,1,1
74,15,10,7,4,2,4,72,"Republican",34,1,0
75,60,56,1,3,2,2,75,"Democrat",51,1,0
50,12,50,7,1,4,4,63,"Independent",41,1,1
78,23,0,7,NA,4,3,90,"Republican",52,1,1
100,1,1,7,2,3,5,59,"Republican",63,1,0
92,88,21,5,4,2,4,92,"Republican",66,1,1
96,45,33,7,2,3,4,84,"Republican",61,1,1
68,66,37,2,4,3,4,10,NA,44,1,0
85,95,90,1,4,2,3,90,"Democrat",61,0,0
100,100,66,7,1,2,5,67,"Republican",52,1,0
95,92,0,7,7,1,4,100,"Independent",58,1,0
100,99,100,2,7,3,1,75,"Democrat",63,1,0
95,70,15,7,2,4,5,100,"Republican",74,1,1
100,100,22,7,5,1,3,100,"Independent",66,1,1
100,100,80,2,4,3,1,90,"Democrat",52,0,1
86,86,10,2,2,3,3,100,"Democrat",70,1,0
35,48,14,3,NA,4,3,36,"Democrat",44,0,1
92,72,21,7,1,3,4,99,"Republican",78,1,0
85,93,13,7,2,5,4,97,"Republican",62,1,0
73,60,50,6,3,4,3,78,"Independent",62,1,1
50,50,30,6,1,5,4,60,"Independent",26,1,0
51,50,48,2,4,5,2,40,"Democrat",35,0,1
100,9,0,7,1,2,4,95,"Independent",66,1,0
51,55,11,7,NA,4,NA,51,"Independent",36,1,1
88,87,73,2,5,3,2,91,"Democrat",76,1,1
100,100,0,7,1,1,5,100,"Republican",80,1,0
55,100,100,1,6,5,1,70,"Democrat",55,0,1
61,19,6,7,1,2,4,49,"Republican",30,1,1
98,51,6,7,4,2,4,91,"Independent",62,1,0
68,58,5,7,4,2,4,87,"Republican",57,1,0
76,76,65,6,4,3,4,96,"Republican",57,1,1
99,80,80,1,5,2,2,98,"Democrat",48,1,1
79,51,1,7,NA,1,4,91,"Independent",70,1,0
67,83,8,7,7,5,4,45,"Republican",84,1,1
95,10,10,7,1,3,4,75,"Republican",59,1,1
54,87,86,3,NA,1,2,76,"Democrat",61,0,1
50,51,18,6,3,4,3,35,"Independent",37,1,0
50,75,50,1,5,2,2,30,"Democrat",41,1,1
70,97,80,2,4,4,1,59,"Democrat",60,1,1
100,85,41,7,1,2,4,99,"Republican",43,1,0
50,50,31,7,1,4,5,90,"Independent",63,1,1
0,50,3,7,4,4,5,18,"Independent",36,1,1
64,88,95,1,7,4,3,55,"Independent",64,1,1
100,100,90,2,5,4,3,60,"Democrat",42,1,0
72,70,70,7,3,4,3,84,"Republican",59,1,1
53,43,43,7,4,4,3,43,"Independent",34,1,0
50,50,50,7,1,NA,4,93,"Independent",55,0,1
91,82,0,7,3,2,5,100,"Republican",91,1,0
70,2,0,7,1,4,4,91,"Republican",36,1,0
91,52,0,7,4,3,3,89,"Independent",64,1,0
50,50,50,2,3,4,1,40,"Democrat",32,1,1
98,59,5,7,1,7,5,99,"Republican",56,1,1
99,87,63,7,NA,2,5,99,"Republican",79,1,0
86,97,51,1,NA,4,3,97,"Democrat",38,1,0
80,91,81,2,6,2,2,37,"Democrat",55,1,1
40,61,11,2,4,1,4,41,"Democrat",62,0,0
55,50,10,7,2,4,5,69,"Republican",56,1,1
56,49,23,7,3,2,NA,61,"Democrat",64,1,1
71,71,65,2,NA,1,4,40,"Democrat",75,0,1
99,0,3,7,1,1,5,100,"Independent",75,1,0
87,83,75,2,5,5,3,93,"Independent",55,1,1
70,27,1,7,1,2,4,69,"Republican",27,1,0
98,62,1,7,2,4,4,52,"Independent",49,1,0
42,55,0,7,1,2,4,50,"Republican",54,1,1
73,79,75,3,5,3,2,45,"Independent",40,0,0
75,58,31,3,5,3,3,90,"Democrat",61,1,1
85,85,50,7,1,6,3,86,"Independent",57,1,0
91,96,51,5,5,4,1,42,"Independent",60,1,1
52,70,50,6,5,2,3,71,"Independent",65,1,1
78,75,61,6,3,4,3,74,"Independent",69,1,1
87,89,40,7,2,2,4,99,"Republican",69,1,0
50,50,50,7,1,5,5,51,"Republican",32,1,1
100,100,45,7,1,4,3,71,"Republican",77,1,1
100,100,96,2,6,4,2,95,"Independent",38,1,1
70,70,40,6,2,1,4,91,"Independent",84,1,1
62,63,60,1,NA,4,5,58,"Democrat",43,1,1
100,99,49,3,7,2,1,50,"Democrat",61,1,1
53,41,50,7,2,4,4,53,"Republican",46,1,1
51,50,30,7,1,4,4,90,"Independent",74,1,0
99,66,27,6,1,4,4,83,"Republican",56,1,1
84,72,63,1,5,3,2,65,"Democrat",58,1,1
50,50,50,7,2,5,4,95,"Independent",70,1,0
88,75,1,1,3,4,3,100,"Democrat",44,1,1
83,50,2,7,3,2,4,75,"Independent",44,1,0
53,53,55,4,4,3,3,89,"Independent",28,1,1
51,51,1,7,1,7,4,70,"Independent",53,1,0
60,46,0,7,3,2,4,90,"Democrat",51,1,0
11,69,43,2,6,2,1,11,"Democrat",28,1,0
73,87,72,2,7,1,2,41,"Democrat",68,1,0
60,51,31,7,4,4,4,55,"Independent",40,1,0
17,38,14,4,3,4,4,32,"Republican",39,0,0
100,30,5,7,1,1,3,5,"Republican",62,1,1
31,58,51,2,6,1,3,1,"Democrat",61,0,1
100,100,95,3,5,3,5,93,"Independent",39,1,1
100,100,100,2,2,4,2,100,"Independent",53,1,1
50,50,45,6,2,1,3,61,"Republican",33,1,0
50,14,8,6,2,4,4,50,"Republican",40,1,1
48,64,52,2,4,2,1,99,"Democrat",52,1,1
78,81,70,1,7,4,2,99,"Democrat",57,1,1
80,80,75,4,4,3,4,60,NA,39,1,0
94,44,41,3,1,3,3,50,"Democrat",41,1,0
61,50,51,3,5,3,3,83,"Republican",63,1,0
80,50,0,7,3,3,5,98,"Republican",50,1,0
88,60,50,2,3,3,3,69,"Democrat",60,1,1
100,82,1,7,4,3,4,89,"Republican",60,1,0
52,49,20,7,4,3,4,80,"Independent",83,1,1
50,50,50,2,2,4,2,94,"Democrat",62,1,1
97,59,2,3,5,3,3,44,"Democrat",77,1,1
100,100,0,7,NA,7,NA,100,"Republican",58,0,0
25,24,7,6,4,3,3,76,"Democrat",59,1,1
79,78,75,2,6,2,1,63,"Democrat",28,1,1
42,70,62,2,7,2,2,94,"Independent",62,0,0
50,50,41,7,3,3,3,76,"Republican",60,1,0
69,79,59,1,7,4,2,79,"Independent",75,0,0
51,50,11,7,1,2,3,98,"Independent",78,1,1
59,31,6,7,4,4,5,70,"Republican",80,1,0
70,51,1,7,1,3,4,65,"Independent",59,1,0
70,92,91,3,6,2,3,81,"Independent",49,1,0
90,80,90,1,NA,2,2,90,"Democrat",60,0,0
90,88,40,1,3,3,3,38,"Democrat",83,1,1
85,85,81,3,4,4,2,75,"Independent",20,1,0
62,93,81,2,6,3,1,27,"Democrat",61,1,0
98,99,98,1,7,6,2,50,"Independent",64,1,1
98,19,9,7,1,2,4,85,"Republican",41,1,1
50,50,50,7,1,7,4,50,NA,28,0,0
50,50,50,6,2,4,5,96,NA,59,1,0
99,100,60,1,NA,2,2,78,"Democrat",69,0,1
100,15,1,7,5,4,3,90,"Republican",57,1,0
71,69,79,1,7,3,2,70,"Democrat",70,1,1
73,56,48,1,6,2,2,69,"Democrat",39,1,1
55,55,1,7,1,1,5,70,NA,58,0,0
83,63,5,7,4,4,3,50,"Independent",60,1,0
89,89,40,7,4,3,3,77,NA,64,1,1
71,72,22,6,4,3,3,63,"Republican",61,1,1
75,95,92,1,5,4,1,13,"Democrat",67,1,0
50,100,30,2,4,3,3,59,"Democrat",62,0,0
50,50,5,7,5,1,4,29,"Republican",65,1,0
75,71,0,6,2,1,3,75,"Independent",60,1,1
100,100,100,3,5,2,4,72,"Democrat",55,0,0
80,75,71,4,4,4,3,80,"Democrat",73,1,1
47,46,3,6,2,3,4,78,"Independent",55,1,1
70,47,50,7,4,2,3,95,"Democrat",76,1,1
53,55,59,2,4,4,4,58,"Democrat",30,0,0
99,87,82,7,4,4,4,100,"Republican",36,0,0
52,76,61,2,4,2,3,67,"Democrat",69,1,1
90,91,50,4,NA,4,4,81,"Independent",51,1,1
85,41,3,7,4,2,4,70,"Independent",62,1,0
85,93,46,7,2,3,5,81,"Independent",55,1,1
87,86,84,2,4,3,2,93,"Democrat",65,1,1
50,50,49,7,4,3,4,100,"Republican",51,1,0
70,71,69,2,7,6,1,6,"Democrat",66,1,1
64,50,31,7,3,5,5,92,"Independent",52,1,1
77,67,71,2,5,4,3,100,"Democrat",73,0,1
54,50,51,4,4,4,3,51,"Republican",47,0,1
69,48,3,7,2,4,4,87,"Republican",73,1,1
57,39,48,7,4,1,4,41,"Republican",59,1,1
100,100,5,4,1,4,NA,16,"Democrat",55,1,1
99,98,80,2,7,1,1,43,"Democrat",71,1,1
49,81,0,7,NA,7,5,94,NA,61,0,1
98,79,91,2,7,7,2,99,"Independent",53,0,1
50,50,30,7,1,3,4,13,"Independent",40,1,0
75,77,72,5,1,4,3,37,"Independent",33,0,1
50,50,50,7,4,3,3,94,"Independent",62,1,0
90,60,0,7,1,4,5,96,"Republican",90,1,1
87,66,34,2,1,4,2,9,"Democrat",44,1,1
100,96,70,7,7,4,4,99,"Republican",51,1,0
100,100,49,4,4,2,3,100,"Democrat",61,1,1
91,84,52,7,2,3,NA,96,"Independent",69,1,1
71,57,8,1,6,4,3,100,"Democrat",65,0,0
75,59,41,7,1,5,4,96,NA,76,1,0
33,99,50,1,7,3,5,68,"Democrat",32,0,1
84,56,22,2,NA,2,3,79,"Democrat",60,1,1
90,99,50,1,4,4,5,41,"Democrat",56,0,1
73,29,10,7,2,4,3,98,"Democrat",73,1,1
99,58,0,7,7,4,3,97,"Independent",44,1,1
93,39,27,2,3,4,2,41,"Democrat",44,1,1
72,51,1,7,1,2,4,100,"Independent",42,1,0
69,69,0,2,6,5,3,50,"Independent",43,1,0
84,94,86,4,4,2,3,93,"Democrat",70,1,1
77,79,20,6,4,3,3,91,"Republican",67,1,0
50,50,50,4,NA,4,2,50,"Democrat",48,0,0
52,69,56,1,5,2,2,40,"Democrat",48,1,1
78,76,19,7,1,3,4,91,"Republican",56,1,1
71,61,50,2,7,4,3,87,"Independent",71,1,1
48,73,26,7,2,4,4,70,"Republican",35,1,0
85,84,0,5,6,4,2,64,"Democrat",24,0,0
84,88,68,1,7,3,3,29,"Democrat",66,0,1
85,86,50,7,1,7,4,71,"Independent",69,1,0
100,50,0,7,1,7,5,100,"Republican",41,1,0
50,50,1,7,1,4,5,61,"Republican",71,1,1
50,50,51,4,3,3,3,86,"Independent",74,1,0
89,85,91,1,7,1,1,71,"Democrat",73,0,1
100,100,28,4,7,1,3,100,"Democrat",65,0,0
99,96,21,6,7,1,4,99,"Democrat",73,1,1
50,76,50,7,4,2,4,100,"Republican",60,1,1
100,75,50,7,1,4,4,95,"Independent",77,1,1
90,90,95,1,6,4,3,65,"Democrat",62,1,1
60,50,5,3,3,2,3,60,NA,80,1,0
70,63,48,4,4,4,3,66,"Republican",53,1,1
49,70,95,2,7,2,2,70,"Independent",42,0,0
60,59,53,7,3,3,3,97,"Independent",31,1,1
66,51,51,7,3,4,4,72,"Republican",66,1,1
78,84,92,2,6,4,1,86,"Independent",62,1,0
95,69,29,7,1,7,5,93,"Republican",55,1,1
100,38,5,7,5,4,4,100,"Independent",73,1,0
88,96,84,2,5,1,4,99,"Independent",26,0,1
87,76,36,5,NA,3,3,73,"Independent",50,1,1
51,51,10,6,2,4,4,66,"Independent",61,1,0
80,60,4,2,5,4,3,70,"Democrat",63,1,0
50,50,49,7,1,3,3,90,"Independent",65,0,1
97,74,74,2,5,3,2,82,"Independent",65,1,0
51,50,40,6,3,5,4,70,"Republican",38,1,1
99,0,0,3,7,5,2,9,"Democrat",67,1,0
75,61,3,3,2,2,3,24,"Democrat",59,1,0
97,53,10,3,6,4,4,43,"Democrat",35,1,0
100,2,6,7,1,5,NA,41,"Independent",45,1,0
85,85,64,7,2,3,3,80,"Independent",73,1,1
90,50,0,7,1,2,4,100,"Republican",60,1,1
67,63,76,1,7,1,1,47,"Democrat",56,1,1
61,50,61,2,4,3,3,41,"Republican",54,0,1
79,56,4,6,4,3,4,71,"Republican",54,1,1
50,51,41,1,NA,2,3,81,"Democrat",69,0,1
60,40,30,7,1,1,5,74,"Republican",58,1,0
50,51,50,7,1,4,4,51,"Independent",62,1,0
70,66,0,7,1,4,5,100,"Republican",58,1,1
61,40,31,6,6,4,2,33,"Democrat",51,1,0
71,100,60,1,2,1,3,70,"Democrat",61,0,1
66,55,42,7,2,5,4,75,"Republican",69,1,1
50,50,53,6,1,5,5,67,"Independent",23,1,0
100,98,1,7,2,4,5,77,"Republican",66,1,1
50,50,50,7,1,2,5,85,"Independent",49,1,0
50,50,5,7,3,4,4,50,"Independent",42,1,0
80,63,50,2,7,2,4,5,"Democrat",51,0,1
0,50,51,1,5,2,1,50,"Democrat",24,0,0
30,80,40,2,4,4,3,20,"Independent",34,0,1
82,100,91,1,6,1,1,29,"Democrat",59,0,1
50,4,6,7,3,2,3,98,"Republican",62,1,0
60,59,50,3,4,2,3,69,"Republican",52,1,0
95,65,60,2,6,4,NA,65,"Independent",28,1,1
75,75,60,5,4,4,3,54,"Independent",34,1,0
100,12,1,7,1,2,5,89,"Republican",43,1,1
50,90,35,1,7,2,3,11,"Independent",64,0,0
93,36,3,2,1,4,3,39,"Democrat",59,1,1
71,99,94,1,NA,4,3,50,"Democrat",41,0,0
96,37,25,3,5,4,NA,85,"Democrat",32,1,1
85,89,11,7,2,3,5,97,"Republican",34,1,0
94,70,48,7,2,2,4,94,NA,64,1,0
76,75,21,7,1,3,4,96,"Independent",71,1,0
